stock_id,stock_name,shares,weight,amount
2330,台積電,5428000.0,9.57,9553280000.0
2383,台光電,2696000.0,7.02,7009600000.0
2308,台達電,4379000.0,6.05,6043020000.0
3017,奇鋐,3026000.0,6.03,6021740000.0
3653,健策,1518000.0,5.77,5760810000.0
2345,智邦,3496000.0,5.29,5278960000.0
2368,金像電,6081000.0,5.24,5229660000.0
3665,貿聯-KY,2948848.0,5.14,5130995520.0
6223,旺矽,1414000.0,5.09,5083330000.0
5274,信驊,318000.0,3.41,3402600000.0
3037,欣興,7410000.0,3.3,3293745000.0
8046,南電,6189000.0,3.24,3230658000.0
2327,國巨*,11083000.0,2.7,2698710500.0
3711,日月光投控,6159000.0,2.03,2023231500.0
2449,京元電子,7512000.0,1.96,1960632000.0
6515,穎崴,268000.0,1.92,1916200000.0
6510,精測,604000.0,1.86,1860320000.0
6805,富世達,842000.0,1.48,1473500000.0
1303,南亞,19743000.0,1.46,1459007700.0
3211,順達,4086000.0,1.41,1409670000.0
8210,勤誠,1240000.0,1.08,1075080000.0
3189,景碩,2657000.0,0.83,831641000.0
6139,亞翔,1559000.0,0.82,816916000.0
2454,聯發科,508000.0,0.76,756920000.0
6488,環球晶,1739000.0,0.73,731249500.0
3661,世芯-KY,275000.0,0.68,683375000.0
5347,世界,5845000.0,0.68,678020000.0
3443,創意,267000.0,0.58,578055000.0
6274,台燿,975000.0,0.56,554775000.0
2404,漢唐,595000.0,0.49,488495000.0
8358,金居,1955000.0,0.46,462357500.0
8996,高力,515000.0,0.44,435690000.0
1326,台化,9001000.0,0.41,404594950.0
4979,華星光,1037000.0,0.35,354135500.0
3264,欣銓,1990000.0,0.31,309445000.0
6187,萬潤,388000.0,0.31,314280000.0
6191,精成科,3402000.0,0.3,299716200.0
3376,新日興,1428000.0,0.27,272748000.0
6669,緯穎,76000.0,0.25,250800000.0
3324,雙鴻,160000.0,0.14,140640000.0
1319,東陽,1504000.0,0.12,121222400.0
2002,中鋼,4929000.0,0.09,93158100.0
3217,優群,477000.0,0.07,72265500.0
3008,大立光,10000.0,0.02,21550000.0
2357,華碩,8000.0,0.0,4392000.0
1815,富喬,5000.0,0.0,479000.0
2439,美律,8000.0,0.0,668000.0
3045,台灣大,8000.0,0.0,872000.0
2313,華通,7000.0,0.0,1736000.0
3583,辛耘,8000.0,0.0,3628000.0
