stock_id,stock_name,shares,weight,amount
2330,台積電,3333000.0,9.23,6216045000.0
3017,奇鋐,2502000.0,6.5,4378500000.0
2308,台達電,3203000.0,5.97,4019765000.0
2383,台光電,1809000.0,5.88,3961710000.0
2345,智邦,2660000.0,5.16,3471300000.0
3665,貿聯-KY,2079848.0,4.97,3348555280.0
6669,緯穎,756000.0,4.39,2955960000.0
6223,旺矽,1059000.0,4.18,2816940000.0
3653,健策,973000.0,4.16,2802240000.0
3037,欣興,5952000.0,3.69,2481984000.0
6274,台燿,4965000.0,3.62,2435332500.0
2368,金像電,2947000.0,3.1,2089423000.0
8046,南電,4559000.0,3.05,2051550000.0
2327,國巨*,7937000.0,3.05,2055683000.0
6805,富世達,1124000.0,2.75,1848980000.0
3661,世芯-KY,568000.0,2.63,1772160000.0
8299,群聯,871000.0,2.21,1485055000.0
8210,勤誠,1633000.0,2.13,1437040000.0
6515,穎崴,236000.0,1.59,1067900000.0
6510,精測,293000.0,1.47,987410000.0
5274,信驊,104000.0,1.34,900120000.0
6139,亞翔,1689000.0,1.26,851256000.0
2449,京元電子,2976000.0,1.23,827328000.0
6488,環球晶,1285000.0,0.86,576322500.0
2404,漢唐,567000.0,0.84,567000000.0
4979,華星光,1219000.0,0.76,510151500.0
8358,金居,1864000.0,0.73,488368000.0
3211,順達,1565000.0,0.68,456980000.0
2454,聯發科,201000.0,0.51,345720000.0
1802,台玻,5996000.0,0.51,344170400.0
6191,精成科,3378000.0,0.49,327328200.0
3376,新日興,1395000.0,0.4,267840000.0
3324,雙鴻,156000.0,0.23,151632000.0
1319,東陽,1499000.0,0.2,137908000.0
3711,日月光投控,302000.0,0.15,98905000.0
2002,中鋼,4924000.0,0.14,94540800.0
3217,優群,353000.0,0.08,52950000.0
3008,大立光,5000.0,0.02,11525000.0
2059,川湖,2000.0,0.01,6340000.0
2357,華碩,3000.0,0.0,1500000.0
8996,高力,1000.0,0.0,749000.0
1815,富喬,2000.0,0.0,207000.0
2439,美律,3000.0,0.0,248100.0
1326,台化,2000.0,0.0,87100.0
3533,嘉澤,2000.0,0.0,2990000.0
3045,台灣大,3000.0,0.0,324000.0
5536,聖暉*,2000.0,0.0,1276000.0
2313,華通,2000.0,0.0,422000.0
1303,南亞,2000.0,0.0,158600.0
3583,辛耘,3000.0,0.0,1018500.0
