stock_id,stock_name,shares,weight,amount
2330,台積電,6121000.0,9.34,12731680000.0
2383,台光電,3012000.0,8.42,11475720000.0
2308,台達電,4610000.0,6.04,8228850000.0
2368,金像電,6821000.0,5.83,7946465000.0
3665,貿聯-KY,3260848.0,5.62,7662992800.0
3653,健策,1837000.0,5.6,7632735000.0
2345,智邦,3878000.0,5.6,7639660000.0
3017,奇鋐,3202000.0,5.46,7444650000.0
6223,旺矽,1489000.0,5.03,6856845000.0
3037,欣興,9287000.0,4.21,5739366000.0
8046,南電,8389000.0,4.04,5503184000.0
5274,信驊,343000.0,3.49,4759125000.0
2327,國巨*,13128000.0,3.1,4227216000.0
3711,日月光投控,6535000.0,2.14,2917877500.0
6274,台燿,2954000.0,2.05,2794484000.0
6515,穎崴,305000.0,2.03,2764825000.0
2449,京元電子,9275000.0,1.98,2699025000.0
6805,富世達,1308000.0,1.75,2387100000.0
6510,精測,620000.0,1.64,2235100000.0
2454,聯發科,1067000.0,1.4,1909930000.0
8358,金居,5389000.0,1.32,1797231500.0
1303,南亞,16352000.0,1.06,1447152000.0
3211,順達,3850000.0,0.98,1339800000.0
3189,景碩,2764000.0,0.78,1059994000.0
8210,勤誠,944000.0,0.69,936448000.0
3443,創意,271000.0,0.61,831970000.0
6147,頎邦,7884000.0,0.61,835704000.0
3661,世芯-KY,251000.0,0.59,805710000.0
6488,環球晶,1434000.0,0.54,739944000.0
2404,漢唐,804000.0,0.54,731640000.0
6669,緯穎,195000.0,0.53,725400000.0
5439,高技,1719000.0,0.5,681583500.0
8996,高力,535000.0,0.43,588500000.0
3264,欣銓,2989000.0,0.41,558943000.0
4979,華星光,1037000.0,0.41,552721000.0
6187,萬潤,388000.0,0.32,440380000.0
6191,精成科,3585000.0,0.27,365670000.0
3583,辛耘,527000.0,0.27,368900000.0
3376,新日興,1465000.0,0.21,281280000.0
2481,強茂,1716000.0,0.13,171600000.0
3324,雙鴻,163000.0,0.12,158436000.0
2002,中鋼,5052000.0,0.07,101545200.0
3217,優群,545000.0,0.06,88290000.0
1319,東陽,493000.0,0.03,38749800.0
3008,大立光,12000.0,0.02,33840000.0
1815,富喬,106000.0,0.01,11872000.0
2313,華通,59000.0,0.01,15517000.0
2357,華碩,11000.0,0.0,6424000.0
2439,美律,11000.0,0.0,970200.0
3045,台灣大,11000.0,0.0,1210000.0
5347,世界,10000.0,0.0,1275000.0
