stock_id,stock_name,shares,weight,amount
2330,台積電,4873000.0,9.17,8966320000.0
2383,台光電,2636000.0,7.94,7763020000.0
3017,奇鋐,2976000.0,6.93,6770400000.0
2308,台達電,4339000.0,6.72,6573585000.0
2345,智邦,3301000.0,5.66,5529175000.0
3653,健策,1378000.0,5.55,5429320000.0
2368,金像電,5841000.0,5.48,5362038000.0
6223,旺矽,1384000.0,5.17,5058520000.0
3665,貿聯-KY,2775848.0,5.15,5038164120.0
3037,欣興,7410000.0,3.8,3719820000.0
8046,南電,5697000.0,3.32,3241593000.0
5274,信驊,258000.0,3.05,2979900000.0
2327,國巨*,10803000.0,2.9,2830386000.0
6515,穎崴,268000.0,2.23,2182860000.0
2449,京元電子,7082000.0,2.09,2039616000.0
3711,日月光投控,5654000.0,2.08,2029786000.0
6510,精測,591000.0,1.86,1817325000.0
8210,勤誠,1459000.0,1.35,1317477000.0
6805,富世達,682000.0,1.33,1299210000.0
1303,南亞,17098000.0,1.31,1278930400.0
3211,順達,3198000.0,1.18,1157676000.0
3661,世芯-KY,339000.0,1.06,1039035000.0
3189,景碩,2657000.0,0.96,933935500.0
6139,亞翔,1525000.0,0.92,898225000.0
2454,聯發科,487000.0,0.79,774330000.0
6488,環球晶,1701000.0,0.79,773104500.0
3443,創意,265000.0,0.69,673100000.0
5347,世界,5719000.0,0.68,669123000.0
2404,漢唐,574000.0,0.53,519470000.0
6274,台燿,845000.0,0.52,512070000.0
8358,金居,1865000.0,0.48,465317500.0
4979,華星光,1037000.0,0.44,426207000.0
1326,台化,8828000.0,0.41,398142800.0
6187,萬潤,388000.0,0.37,364332000.0
6191,精成科,3400000.0,0.32,314160000.0
3376,新日興,1426000.0,0.31,299460000.0
2408,南亞科,1306000.0,0.3,294503000.0
8996,高力,335000.0,0.29,283075000.0
3264,欣銓,1790000.0,0.27,268500000.0
3533,嘉澤,115000.0,0.27,261050000.0
6669,緯穎,74000.0,0.26,256410000.0
3324,雙鴻,159000.0,0.16,156615000.0
1319,東陽,1502000.0,0.13,126168000.0
2002,中鋼,4927000.0,0.1,97308250.0
3217,優群,356000.0,0.06,55002000.0
3008,大立光,8000.0,0.02,17680000.0
2357,華碩,6000.0,0.0,3444000.0
1815,富喬,3000.0,0.0,313500.0
2439,美律,6000.0,0.0,510000.0
3045,台灣大,6000.0,0.0,654000.0
2313,華通,5000.0,0.0,1227500.0
3583,辛耘,6000.0,0.0,3006000.0
