stock_id,stock_name,shares,weight,amount
2330,台積電,6256000.0,9.01,13043760000.0
2383,台光電,3012000.0,7.98,11551020000.0
2308,台達電,4711000.0,6.0,8691795000.0
3653,健策,1906000.0,5.77,8348280000.0
2368,金像電,6971000.0,5.61,8121215000.0
2345,智邦,3963000.0,5.57,8064705000.0
3017,奇鋐,3272000.0,5.52,7983680000.0
3665,貿聯-KY,3332848.0,5.51,7982170960.0
6223,旺矽,1521000.0,5.16,7475715000.0
8046,南電,8389000.0,4.18,6048469000.0
3037,欣興,9287000.0,4.14,5990115000.0
5274,信驊,350000.0,3.5,5068000000.0
2327,國巨*,13418000.0,3.01,4360850000.0
6515,穎崴,311000.0,2.11,3054020000.0
3711,日月光投控,6679000.0,2.08,3008889500.0
2454,聯發科,1540000.0,2.02,2918300000.0
6274,台燿,3019000.0,2.0,2898240000.0
2449,京元電子,9479000.0,1.86,2687296500.0
6805,富世達,1404000.0,1.84,2667600000.0
6510,精測,633000.0,1.6,2316780000.0
8358,金居,5508000.0,1.27,1842426000.0
1303,南亞,16352000.0,1.02,1479856000.0
3211,順達,3702000.0,0.89,1290147000.0
3189,景碩,2825000.0,0.77,1111637500.0
8210,勤誠,964000.0,0.68,983280000.0
3443,創意,271000.0,0.63,906495000.0
6147,頎邦,7884000.0,0.62,898776000.0
3661,世芯-KY,256000.0,0.61,889600000.0
6488,環球晶,1465000.0,0.55,791100000.0
2404,漢唐,821000.0,0.53,767635000.0
6669,緯穎,199000.0,0.51,736300000.0
5439,高技,1756000.0,0.48,689230000.0
4979,華星光,1037000.0,0.42,607682000.0
8996,高力,535000.0,0.41,596525000.0
3264,欣銓,3055000.0,0.37,534625000.0
6187,萬潤,396000.0,0.3,437580000.0
6191,精成科,3664000.0,0.27,384720000.0
2481,強茂,3648000.0,0.27,392160000.0
3583,辛耘,527000.0,0.26,371008000.0
3376,新日興,1497000.0,0.2,291915000.0
3324,雙鴻,166000.0,0.12,173470000.0
2002,中鋼,5156000.0,0.07,102862200.0
3217,優群,556000.0,0.06,90072000.0
1319,東陽,504000.0,0.03,40269600.0
3008,大立光,12000.0,0.02,33840000.0
1815,富喬,106000.0,0.01,12243000.0
2313,華通,60000.0,0.01,15600000.0
2357,華碩,11000.0,0.0,6479000.0
2439,美律,11000.0,0.0,977900.0
3045,台灣大,11000.0,0.0,1210000.0
5347,世界,10000.0,0.0,1325000.0
