stock_id,stock_name,shares,weight,amount
2330,台積電,5428000.0,9.49,10096080000.0
2383,台光電,2807000.0,7.62,8098195000.0
2308,台達電,4379000.0,6.24,6634185000.0
3017,奇鋐,3026000.0,5.78,6142780000.0
2368,金像電,6607000.0,5.76,6124689000.0
3665,貿聯-KY,3052848.0,5.71,6075167520.0
3653,健策,1595000.0,5.64,5997200000.0
2345,智邦,3646000.0,5.54,5888290000.0
6223,旺矽,1414000.0,5.21,5542880000.0
3037,欣興,8443000.0,4.48,4761852000.0
8046,南電,7557000.0,4.43,4715568000.0
5274,信驊,318000.0,3.43,3647460000.0
2327,國巨*,11083000.0,2.67,2837248000.0
3711,日月光投控,6159000.0,2.04,2167968000.0
6805,富世達,1130000.0,1.97,2090500000.0
2449,京元電子,7512000.0,1.89,2013216000.0
6510,精測,604000.0,1.89,2008300000.0
6515,穎崴,268000.0,1.79,1902800000.0
6274,台燿,2458000.0,1.58,1678814000.0
1303,南亞,19743000.0,1.49,1589311500.0
3211,順達,4086000.0,1.37,1458702000.0
3189,景碩,2657000.0,0.9,952534500.0
6139,亞翔,1559000.0,0.76,806003000.0
2454,聯發科,508000.0,0.7,746760000.0
5347,世界,5845000.0,0.67,707245000.0
3661,世芯-KY,233000.0,0.59,630265000.0
3443,創意,267000.0,0.59,631455000.0
6488,環球晶,1330000.0,0.52,547960000.0
2404,漢唐,595000.0,0.48,508725000.0
6147,頎邦,5601000.0,0.47,502969800.0
8358,金居,1955000.0,0.45,476042500.0
8996,高力,515000.0,0.44,465560000.0
3264,欣銓,2870000.0,0.42,447720000.0
1326,台化,9001000.0,0.39,410445600.0
4979,華星光,1037000.0,0.39,419466500.0
6187,萬潤,388000.0,0.34,356960000.0
6191,精成科,3402000.0,0.29,303118200.0
3376,新日興,1428000.0,0.28,294168000.0
6669,緯穎,76000.0,0.24,258020000.0
8210,勤誠,235000.0,0.18,195050000.0
2481,強茂,1636000.0,0.16,170962000.0
3324,雙鴻,160000.0,0.14,146880000.0
1319,東陽,1504000.0,0.11,120470400.0
2002,中鋼,4929000.0,0.09,96115500.0
3583,辛耘,190000.0,0.09,96330000.0
3217,優群,477000.0,0.07,72981000.0
3008,大立光,10000.0,0.02,21700000.0
2357,華碩,8000.0,0.0,4400000.0
1815,富喬,5000.0,0.0,510000.0
2439,美律,8000.0,0.0,693600.0
3045,台灣大,8000.0,0.0,876000.0
2313,華通,7000.0,0.0,1925000.0
